[2025-03-10 16:00:54] This is codeql database index-files --include-extension=.java --exclude=**/module-info.java --exclude=**/package-info.java --size-limit=50m --language=java --working-dir=. /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb
[2025-03-10 16:00:54] Log file was started late.
[2025-03-10 16:00:54] Using index-files script /opt/homebrew/Caskroom/codeql/2.20.5/codeql/java/tools/index-files.sh.
[2025-03-10 16:00:54] [PROGRESS] database index-files> Scanning for files in /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows...
[2025-03-10 16:00:54] Calling plumbing command: codeql resolve files --include-extension=.java --exclude=**/module-info.java --exclude=**/package-info.java --size-limit=50m /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows --format=json
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/diagnostic...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/diagnostic/tracer...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/diagnostic/extractors...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/diagnostic/extractors/java...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/working...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/working/java-standalone-dependency-graph12254083909330441074...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/codeqldb/log...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.github...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.github/workflows...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/61...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/0d...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/95...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/59...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/92...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/0c...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/66...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/3e...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/50...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/68...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/57...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/3b...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/6f...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/03...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/9b...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/9e...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/04...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/6a...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/32...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/35...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/69...
[2025-03-10 16:00:54] [PROGRESS] resolve files> Scanning /Users/pripum/Documents/codeql-snyk-github-testing/codeql-and-workflows/.git/objects/3c...
